"actor","type","actor_id","ideo"
"davidsirota","Journalist","14855994","-0.8151012956059872"
"Will_Bunch","Journalist","17824099","-1.3311048012668172"
"juliareinstein","Journalist","219718241","-0.6910447036526868"
"jdawsey1","Journalist","38936142","0.6843653375686888"
"jaredbkeller","Journalist","53429839","-0.4033772440508305"
"aseitzwald","Journalist","82167518","0.23848077518581146"
"abbydphillip","Journalist","126722715","0.5531170591253418"
"DavidCayJ","Journalist","338608917","-1.7014766555042071"
"juliaioffe","Journalist","71048726","0.8192094592570589"
"_cingraham","Journalist","452521774","-1.1638980903732383"
"AlexNBCNews","Journalist","163995093","0.912701383627662"
"KenDilanianNBC","Journalist","325001316","-0.4986670900439453"
"oliverdarcy","Journalist","27075032","0.8299969889921283"
"RepJeffries","Politician","467823431","-0.4429315197460858"
"desiderioDC","Journalist","427630477","-0.19661625746199635"
"SenDuckworth","Politician","1058520120","-0.10492225471390457"
"HallieJackson","Journalist","37590426","0.5117648618075749"
"Yamiche","Journalist","89887215","0.4416459185296224"
"MichaelSteele","Journalist","50317463","1.6031032866721175"
"jonallendc","Journalist","43409523","0.565702510482923"
"KellyO","Journalist","224320485","0.9882140917731495"
"DeanObeidallah","Journalist","18320938","-0.9643287902744504"
"PhilipRucker","Journalist","59331128","0.4506355266421805"
"bobcesca_go","Journalist","97106823","-0.9103911415991026"
"joshtpm","Journalist","21268897","0.019134337239395897"
"SenJeffMerkley","Politician","29201047","0.020932258861907502"
"SenSherrodBrown","Politician","43910797","0.3643352887616236"
"SenateDems","Politician","73238146","-1.192664836333424"
"markfollman","Journalist","44978716","-0.23617053315725145"
"HuffPost","Media","14511951","1.06732264316366"
"NateSilver538","Journalist","16017475","-0.6191278387522228"
"marclamonthill","Journalist","20068679","-0.05458044928357965"
"kelseybolar","Journalist","216506034","1.4610674784937008"
"JayCaruso","Journalist","11616202","2.471499430345221"
"RobertBluey","Journalist","3137331","2.083148359882715"
"DavidLimbaugh","Journalist","179245596","2.280919738358991"
"rezaaslan","Journalist","262856460","-0.9337641226917529"
"amyklobuchar","Politician","33537967","-0.06536797901864927"
"AmandaMarcotte","Journalist","928481","-1.2448045633862603"
"ZerlinaMaxwell","Journalist","21879831","-0.1858287277269267"
"CoryBooker","Politician","15808765","0.028123945351953915"
"hannahdreier","Journalist","92854623","-1.7194558717293231"
"jonathanchait","Journalist","50446226","-0.7377906658379885"
"SteveKornacki","Journalist","44134773","-0.4537190494811554"
"mmurraypolitics","Journalist","92079350","-0.7521740388180812"
"mattyglesias","Journalist","15446531","-0.5633922684543631"
"RepBarbaraLee","Politician","248735463","-0.5418172089842238"
"page88","Journalist","4282171","-0.7593657253081277"
"ClaraJeffery","Journalist","43412697","-0.820495060473522"
"anamariecox","Journalist","11640472","0.4128791725694368"
"VaughnHillyard","Journalist","68611923","0.4146770941919484"
"maziehirono","Politician","92186819","-0.6047444657721299"
"PekingMike","Journalist","217304598","-0.937359965936776"
"WajahatAli","Journalist","21733692","-1.1441209525256104"
"tomwatson","Journalist","1049171","-1.3742549202070955"
"Bakari_Sellers","Journalist","241201438","-0.3458437521304593"
"SymoneDSanders","Journalist","2434051392","-0.6425008198448736"
"KyungLahCNN","Journalist","78231411","-0.5310296792491542"
"sfpelosi","Journalist","15446551","-1.0596186362675653"
"rgoodlaw","Journalist","1171109054","-0.5112525414015267"
"GideonResnick","Journalist","377778216","-0.07076174388618409"
"derekwillis","Journalist","14517538","0.975628640415568"
"AndreaChalupa","Journalist","34792486","-1.3382964877568635"
"ezraklein","Journalist","18622869","-0.9139869848441255"
"MattNegrin","Journalist","15751676","0.23308701031827664"
"IsaacDovere","Journalist","115564212","-0.20740378719706595"
"costareports","Journalist","86129724","0.6753757294561306"
"DLind","Journalist","14471411","-1.6133784960011388"
"igorvolsky","Journalist","16002085","0.5782879618405042"
"mikememoli","Journalist","16072058","0.24567246167585785"
"meredithshiner","Journalist","16081831","-0.6514904279574316"
"jelani9","Journalist","14155907","-1.002085144347194"
"Eugene_Scott","Journalist","315331161","-0.02581370332339399"
"mj_lee","Journalist","139738464","0.583681726708039"
"CapehartJ","Journalist","97474887","-0.6640758793150129"
"AriBerman","Journalist","15952856","-0.838474276698638"
"damianpaletta","Journalist","115718513","1.2057626080970534"
"rubycramer","Journalist","18697888","-0.518444227891573"
"micahcohen","Journalist","137512415","0.0011551210142798614"
"sbg1","Journalist","31037199","-0.2145954736871124"
"SenWhitehouse","Politician","242555999","-0.7683553334206856"
"ChrisCuomo","Journalist","22799750","0.7041424754163162"
"merica","Journalist","36890646","0.3193872481988335"
"CillizzaCNN","Journalist","14412533","0.6376193753833871"
"demori","Journalist","15675149","-0.680257173917617"
"cenkuygur","Journalist","429227921","-1.1692918552407727"
"mitchellreports","Journalist","89820928","0.10543457511995287"
"ForeignPolicy","Media","26792275","-0.4932733251764106"
"TonyFratto","Journalist","24002724","0.1719576751528821"
"ianbremmer","Journalist","60783724","0.4398479969071109"
"JStein_WaPo","Journalist","334385278","-0.5382213657392007"
"WaPoSean","Journalist","169586280","0.6951528673037584"
"brianbeutler","Journalist","21696279","0.4973814888274822"
"ddayen","Journalist","7864222","-1.0811936957377044"
"dandrezner","Journalist","75797367","0.14139300757018494"
"qjurecic","Journalist","3157736703","-1.7230517149743465"
"zackbeauchamp","Journalist","156783075","-0.428548146765993"
"NickMiroff","Journalist","115554440","-0.3710146548456217"
"nielslesniewski","Journalist","140286364","0.20072442111306776"
"JamesFallows","Journalist","24789175","-0.5526047387192935"
"jenhab","Journalist","16018516","0.7347071429990134"
"dceiver","Journalist","14066024","-1.0847895389827278"
"joshuakeating","Journalist","16393860","-1.1081625200753784"
"HayesBrown","Journalist","65551087","-1.2070482093135169"
"josheidelson","Journalist","21005767","-0.8672410226588237"
"greenfield64","Journalist","262223982","-0.006036565475766353"
"attackerman","Journalist","15978412","-0.06716590064116087"
"MikeElk","Journalist","52615210","-1.1656960119957496"
"JillFilipovic","Journalist","16378093","-0.8600493361687774"
"BresPolitico","Journalist","217550862","1.0547371918060788"
"burgessev","Journalist","407013776","0.610650551045713"
"dylanmatt","Journalist","15950086","-0.7341948225929652"
"germanrlopez","Journalist","64197283","0.3373664644239495"
"AsteadWesley","Journalist","362111287","-0.820495060473522"
"BrendanNyhan","Journalist","84653850","0.5513191375028301"
"RepMarkTakano","Politician","1037321378","-0.7252052144804072"
"CoralMDavenport","Journalist","48075643","0.6843653375686888"
"mviser","Journalist","19914257","0.01553849399437269"
"HotlineJosh","Journalist","21612122","0.8120177727670125"
"LarrySabato","Journalist","21313053","0.4272625455495296"
"aedwardslevy","Journalist","23908154","-0.5310296792491542"
"michaelscherer","Journalist","17910554","0.628629767270829"
"SeanMcElwee","Journalist","318692762","-0.7144176847453376"
"crampell","Journalist","14348157","-0.41955853865343495"
"TPM","Media","14717197","-0.05098460603855645"
"CarolLeonnig","Journalist","108710418","0.12161586972255732"
"stuartpstevens","Journalist","1543986138","1.0745143296537063"
"Hegemommy","Journalist","20269254","-0.5849673279245023"
"ddiamond","Journalist","16868756","-0.9894996929896128"
"justinjm1","Journalist","164397041","-0.5418172089842238"
"radleybalko","Journalist","15816595","-0.29550194670013435"
"adamgoldmanNYT","Journalist","21534951","0.8875304809124998"
"Sulliview","Journalist","460470940","-0.6047444657721299"
"StuPolitics","Journalist","250784170","1.2039646864745417"
"titonka","Journalist","47848003","0.4919877239599473"
"paulwaldman1","Journalist","48797538","-0.9229765929566834"
"MiriamElder","Journalist","18295206","-0.5687860333218979"
"K8brannen","Journalist","309680827","0.12700963459009212"
"rachaelmbade","Journalist","167024520","1.2183480594546343"
"jonathanweisman","Journalist","21768766","0.30680179684125225"
"emmaogreen","Journalist","1511299686","-0.2901081818325995"
"katherinemiller","Journalist","15741036","1.2435189621697968"
"yayitsrob","Journalist","2400631","-0.3368541440179012"
"anniekarni","Journalist","309282144","0.5351378429002257"
"PoliticsWolf","Journalist","1049306268","-1.322115193154259"
"DavidBegnaud","Journalist","42971403","0.013740572371861088"
"BuzzFeedBen","Journalist","9532402","0.5800858834630158"
"DanaGoldstein","Journalist","15335662","-0.19661625746199635"
"bykowicz","Journalist","37721714","0.6340235321383639"
"SenatorHassan","Politician","946549322","0.10723249674246448"
"JustinElliott","Journalist","40912473","-0.40517516567334216"
"JaxAlemany","Journalist","307982591","0.1234137913450689"
"GoAngelo","Journalist","53130511","-0.951743338916869"
"PostScottWilson","Journalist","102789488","-0.18403080610441513"
"jdesmondharris","Journalist","26006398","-0.901401533486544"
"liamstack","Journalist","133929829","-0.08334719524376531"
"Redistrict","Journalist","74820061","-0.05098460603855645"
